date,name,name_is,name_en,type,parent,parent_is,parent_en,hierarchy_level,value
2005-10-31,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,698966.367
2005-10-31,Ríkissjóður og ríkisstofnanir / Treasury and government institutions,Ríkissjóður og ríkisstofnanir,Treasury and government institutions,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,66204.414
2005-10-31,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,liability,,,,1,3651172.389
2005-10-31,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,97230.886
2005-10-31,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,1606.105
2005-10-31,Seðlar og mynt í umferð / Notes and coin in circulation,Seðlar og mynt í umferð,Notes and coin in circulation,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,9420.677
2005-10-31,Verðbréfaútgáfa innlánsstofnana / Deposit taking corporations bond issues,Verðbréfaútgáfa innlánsstofnana,Deposit taking corporations bond issues,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,135174.628
2005-11-30,Aðrar erlendar eignir  / Other foreign assets,Aðrar erlendar eignir ,Other foreign assets,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,740654.604
2005-11-30,Aðrar innlendar eignir / Other domestic assets,Aðrar innlendar eignir,Other domestic assets,asset,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",3,171307.596
2005-11-30,EIGNIR / ASSETS:,EIGNIR,ASSETS:,asset,,,,1,3877088.52
2005-11-30,Erlend verðbréf Seðlabanka / Central Bank's foreign securities,Erlend verðbréf Seðlabanka,Central Bank's foreign securities,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,42847.33
2005-11-30,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,657906.6584
2005-11-30,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",asset,EIGNIR / ASSETS:,EIGNIR,ASSETS:,2,1441408.592
2005-11-30,"Fjármálafyrirtæki, önnur en bankar / Non-bank financial institutions","Fjármálafyrirtæki, önnur en bankar",Non-bank financial institutions,asset,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,10987.811
2005-11-30,Hlutabréf / Equities,Hlutabréf,Equities,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,181324.033
2005-11-30,Hlutabréf / Equities,Hlutabréf,Equities,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,126540.323
2005-11-30,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,asset,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",3,2264372.332
2005-11-30,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",asset,EIGNIR / ASSETS:,EIGNIR,ASSETS:,2,2435679.928
2005-11-30,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,asset,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,4,2253384.521
2005-11-30,Markaðsskuldabréf / Marketable bonds,Markaðsskuldabréf,Marketable bonds,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,287264.556
2005-11-30,Markaðsskuldabréf / Marketable bonds,Markaðsskuldabréf,Marketable bonds,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,42432.54596
2005-11-30,Ríkissjóður og ríkisstofnanir / Treasury and Government institutions,Ríkissjóður og ríkisstofnanir,Treasury and Government institutions,asset,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,0.0
2005-11-30,Seðlabanki / Central Bank,Seðlabanki,Central Bank,asset,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,4,10987.811
2005-11-30,Útlán / Lending 3,Útlán,Lending 3,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,1784795.932
2005-11-30,Útlán / Lending 3,Útlán,Lending 3,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,488933.7894
2005-11-30,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,810456.711
2005-11-30,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,471944.74
2005-11-30,Aðrar skuldir ót.a.st. / Other liabilities,Aðrar skuldir ót.a.st.,Other liabilities,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,763.255
2005-11-30,Aðrar skuldir ót.a.st. / Other liabilities,Aðrar skuldir ót.a.st.,Other liabilities,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,169764.785
2005-11-30,Eigið fé  / Total equity and minority interest,Eigið fé ,Total equity and minority interest,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,357421.535
2005-11-30,Eigið fé / Capital and reserves,Eigið fé,Capital and reserves,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,31339.807
2005-11-30,Erlend verðbréfaútgáfa innlánsstofnana / Deposit taking corporations foreign bond issues,Erlend verðbréfaútgáfa innlánsstofnana,Deposit taking corporations foreign bond issues,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,1714415.079
2005-11-30,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",liability,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,2,2227646.926
2005-11-30,Innlendar beinar lántökur / Domestic direct borrowing,Innlendar beinar lántökur,Domestic direct borrowing,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,186143.16
2005-11-30,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",liability,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,2,1649441.594
2005-11-30,Innlán erlendra aðila í innlánsstofnunum / Non-residents' deposits in deposit taking corporations,Innlán erlendra aðila í innlánsstofnunum,Non-residents' deposits in deposit taking corporations,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,41287.10713
2005-11-30,Innlán innlendra aðila í innlánsstofnunum / Residents' deposits in deposit taking corporations,Innlán innlendra aðila í innlánsstofnunum,Residents' deposits in deposit taking corporations,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,685489.988
2005-11-30,Innlánsstofnanir / DMBs,Innlánsstofnanir,DMBs,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,470310.569
2005-11-30,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,713329.48
2005-11-30,Ríkissjóður og ríkisstofnanir / Treasury and government institutions,Ríkissjóður og ríkisstofnanir,Treasury and government institutions,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,65024.169
2005-11-30,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,liability,,,,1,3877088.52
2005-11-30,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,97127.231
2005-11-30,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,1634.171
2005-11-30,Seðlar og mynt í umferð / Notes and coin in circulation,Seðlar og mynt í umferð,Notes and coin in circulation,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,9524.952
2005-11-30,Verðbréfaútgáfa innlánsstofnana / Deposit taking corporations bond issues,Verðbréfaútgáfa innlánsstofnana,Deposit taking corporations bond issues,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,143969.943
2005-12-31,Aðrar erlendar eignir  / Other foreign assets,Aðrar erlendar eignir ,Other foreign assets,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,789224.501
2005-12-31,Aðrar innlendar eignir / Other domestic assets,Aðrar innlendar eignir,Other domestic assets,asset,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",3,242567.633
2005-12-31,EIGNIR / ASSETS:,EIGNIR,ASSETS:,asset,,,,1,4115761.603
2005-12-31,Erlend verðbréf Seðlabanka / Central Bank's foreign securities,Erlend verðbréf Seðlabanka,Central Bank's foreign securities,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,42702.32
2005-12-31,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,723831.1276
2005-12-31,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",asset,EIGNIR / ASSETS:,EIGNIR,ASSETS:,2,1555757.949
2005-12-31,"Fjármálafyrirtæki, önnur en bankar / Non-bank financial institutions","Fjármálafyrirtæki, önnur en bankar",Non-bank financial institutions,asset,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,10069.963
2005-12-31,Hlutabréf / Equities,Hlutabréf,Equities,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,223157.658
2005-12-31,Hlutabréf / Equities,Hlutabréf,Equities,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,151713.423
2005-12-31,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,asset,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",3,2317436.021
2005-12-31,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",asset,EIGNIR / ASSETS:,EIGNIR,ASSETS:,2,2560003.654
2005-12-31,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,asset,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,4,2307366.058
2005-12-31,Markaðsskuldabréf / Marketable bonds,Markaðsskuldabréf,Marketable bonds,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,262037.5483
2005-12-31,Markaðsskuldabréf / Marketable bonds,Markaðsskuldabréf,Marketable bonds,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,71164.93372
2005-12-31,Ríkissjóður og ríkisstofnanir / Treasury and Government institutions,Ríkissjóður og ríkisstofnanir,Treasury and Government institutions,asset,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,0.0
2005-12-31,Seðlabanki / Central Bank,Seðlabanki,Central Bank,asset,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,4,10069.963
2005-12-31,Útlán / Lending 3,Útlán,Lending 3,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,1822170.852
2005-12-31,Útlán / Lending 3,Útlán,Lending 3,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,500952.7709
2005-12-31,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,915164.048
2005-12-31,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,489263.023
2005-12-31,Aðrar skuldir ót.a.st. / Other liabilities,Aðrar skuldir ót.a.st.,Other liabilities,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,923.103
2005-12-31,Aðrar skuldir ót.a.st. / Other liabilities,Aðrar skuldir ót.a.st.,Other liabilities,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,195329.997
2005-12-31,Eigið fé  / Total equity and minority interest,Eigið fé ,Total equity and minority interest,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,405155.823
2005-12-31,Eigið fé / Capital and reserves,Eigið fé,Capital and reserves,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,36369.805
2005-12-31,Erlend verðbréfaútgáfa innlánsstofnana / Deposit taking corporations foreign bond issues,Erlend verðbréfaútgáfa innlánsstofnana,Deposit taking corporations foreign bond issues,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,1842123.015
2005-12-31,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",liability,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,2,2392758.582
2005-12-31,Innlendar beinar lántökur / Domestic direct borrowing,Innlendar beinar lántökur,Domestic direct borrowing,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,201469.751
2005-12-31,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",liability,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,2,1723003.061
2005-12-31,Innlán erlendra aðila í innlánsstofnunum / Non-residents' deposits in deposit taking corporations,Innlán erlendra aðila í innlánsstofnunum,Non-residents' deposits in deposit taking corporations,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,61372.54425
2005-12-31,Innlán innlendra aðila í innlánsstofnunum / Residents' deposits in deposit taking corporations,Innlán innlendra aðila í innlánsstofnunum,Residents' deposits in deposit taking corporations,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,647048.891
2005-12-31,Innlánsstofnanir / DMBs,Innlánsstofnanir,DMBs,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,487629.225
2005-12-31,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,801955.571
2005-12-31,Ríkissjóður og ríkisstofnanir / Treasury and government institutions,Ríkissjóður og ríkisstofnanir,Treasury and government institutions,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,75915.569
2005-12-31,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,liability,,,,1,4115761.643
2005-12-31,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,113208.477
2005-12-31,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,1633.798
2005-12-31,Seðlar og mynt í umferð / Notes and coin in circulation,Seðlar og mynt í umferð,Notes and coin in circulation,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,10499.671
2005-12-31,Verðbréfaútgáfa innlánsstofnana / Deposit taking corporations bond issues,Verðbréfaútgáfa innlánsstofnana,Deposit taking corporations bond issues,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,150290.451
2006-01-31,Aðrar erlendar eignir  / Other foreign assets,Aðrar erlendar eignir ,Other foreign assets,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,729425.762
2006-01-31,Aðrar innlendar eignir / Other domestic assets,Aðrar innlendar eignir,Other domestic assets,asset,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",3,265741.052
2006-01-31,EIGNIR / ASSETS:,EIGNIR,ASSETS:,asset,,,,1,4197374.305
2006-01-31,Erlend verðbréf Seðlabanka / Central Bank's foreign securities,Erlend verðbréf Seðlabanka,Central Bank's foreign securities,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,42412.424
2006-01-31,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,769092.68
2006-01-31,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",asset,EIGNIR / ASSETS:,EIGNIR,ASSETS:,2,1540930.866
2006-01-31,"Fjármálafyrirtæki, önnur en bankar / Non-bank financial institutions","Fjármálafyrirtæki, önnur en bankar",Non-bank financial institutions,asset,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,14537.19
2006-01-31,Hlutabréf / Equities,Hlutabréf,Equities,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,255814.28
2006-01-31,Hlutabréf / Equities,Hlutabréf,Equities,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,183306.95
2006-01-31,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,asset,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",3,2390702.387
2006-01-31,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",asset,EIGNIR / ASSETS:,EIGNIR,ASSETS:,2,2656443.439
2006-01-31,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,asset,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,4,2376165.197
2006-01-31,Markaðsskuldabréf / Marketable bonds,Markaðsskuldabréf,Marketable bonds,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,277817.4976
2006-01-31,Markaðsskuldabréf / Marketable bonds,Markaðsskuldabréf,Marketable bonds,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,64611.80538
2006-01-31,Ríkissjóður og ríkisstofnanir / Treasury and Government institutions,Ríkissjóður og ríkisstofnanir,Treasury and Government institutions,asset,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,0.0
2006-01-31,Seðlabanki / Central Bank,Seðlabanki,Central Bank,asset,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,4,14537.19
2006-01-31,Útlán / Lending 3,Útlán,Lending 3,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,1842533.419
2006-01-31,Útlán / Lending 3,Útlán,Lending 3,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,521173.9246
2006-01-31,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,953817.634
2006-01-31,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,539226.407
2006-01-31,Aðrar skuldir ót.a.st. / Other liabilities,Aðrar skuldir ót.a.st.,Other liabilities,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,647.413
2006-01-31,Aðrar skuldir ót.a.st. / Other liabilities,Aðrar skuldir ót.a.st.,Other liabilities,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,159137.61
2006-01-31,Eigið fé  / Total equity and minority interest,Eigið fé ,Total equity and minority interest,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,455623.79
2006-01-31,Eigið fé / Capital and reserves,Eigið fé,Capital and reserves,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,36593.003
2006-01-31,Erlend verðbréfaútgáfa innlánsstofnana / Deposit taking corporations foreign bond issues,Erlend verðbréfaútgáfa innlánsstofnana,Deposit taking corporations foreign bond issues,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,1803494.216
2006-01-31,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",liability,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,2,2446331.501
2006-01-31,Innlendar beinar lántökur / Domestic direct borrowing,Innlendar beinar lántökur,Domestic direct borrowing,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,215425.458
2006-01-31,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",liability,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,2,1751042.805
2006-01-31,Innlán erlendra aðila í innlánsstofnunum / Non-residents' deposits in deposit taking corporations,Innlán erlendra aðila í innlánsstofnunum,Non-residents' deposits in deposit taking corporations,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,103610.8784
2006-01-31,Innlán innlendra aðila í innlánsstofnunum / Residents' deposits in deposit taking corporations,Innlán innlendra aðila í innlánsstofnunum,Residents' deposits in deposit taking corporations,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,647190.559
2006-01-31,Innlánsstofnanir / DMBs,Innlánsstofnanir,DMBs,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,537182.282
2006-01-31,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,830186.858
2006-01-31,Ríkissjóður og ríkisstofnanir / Treasury and government institutions,Ríkissjóður og ríkisstofnanir,Treasury and government institutions,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,86390.36
2006-01-31,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,liability,,,,1,4197374.306
2006-01-31,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,123630.776
2006-01-31,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,2044.125
2006-01-31,Seðlar og mynt í umferð / Notes and coin in circulation,Seðlar og mynt í umferð,Notes and coin in circulation,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,9508.981
2006-01-31,Verðbréfaútgáfa innlánsstofnana / Deposit taking corporations bond issues,Verðbréfaútgáfa innlánsstofnana,Deposit taking corporations bond issues,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,140525.631
2006-02-28,Aðrar erlendar eignir  / Other foreign assets,Aðrar erlendar eignir ,Other foreign assets,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,892428.59
2006-02-28,Aðrar innlendar eignir / Other domestic assets,Aðrar innlendar eignir,Other domestic assets,asset,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",3,255405.483
2006-02-28,EIGNIR / ASSETS:,EIGNIR,ASSETS:,asset,,,,1,4562757.25
2006-02-28,Erlend verðbréf Seðlabanka / Central Bank's foreign securities,Erlend verðbréf Seðlabanka,Central Bank's foreign securities,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,45447.884
2006-02-28,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,853055.626
2006-02-28,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",asset,EIGNIR / ASSETS:,EIGNIR,ASSETS:,2,1790932.1
2006-02-28,"Fjármálafyrirtæki, önnur en bankar / Non-bank financial institutions","Fjármálafyrirtæki, önnur en bankar",Non-bank financial institutions,asset,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,9738.635
2006-02-28,Hlutabréf / Equities,Hlutabréf,Equities,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,283702.682
2006-02-28,Hlutabréf / Equities,Hlutabréf,Equities,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,214892.714
2006-02-28,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,asset,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",3,2516419.667
